variable,reason,n_unique,unique_ratio,variance,variance_score,stability_score,trend_score,correlation_score,final_score
armonicos_il1_armonico_11_il1,score_zero,3,0.0004201092283993838,0.001809921167738906,0.0,0.0,0.0,0.0,0.0
armonicos_il1_armonico_13_il1,score_zero,6,0.0008402184567987676,0.025290904654818095,0.0,0.0,0.0,0.0,0.0
armonicos_il2_armonico_9_il2,score_zero,4,0.0005601456378658452,0.00020301042977056383,0.0,0.0,0.0,0.0,0.0
armonicos_vl1_armonico_2_vl1,score_zero,3,0.0004201092283993838,1.2595431674980594e-05,0.0,0.0,0.0,0.0,0.0
armonicos_vl1_armonico_3_vl1,score_zero,5,0.0007001820473323064,0.011124861091334728,0.0,0.0,0.0,0.0,0.0
armonicos_vl1_armonico_9_vl1,score_zero,2,0.0002800728189329226,4.1999155074437e-06,0.0,0.0,0.0,0.0,0.0
armonicos_vl1_armonico_11_vl1,score_zero,4,0.0005601456378658452,0.007920546008628912,0.0,0.0,0.0,0.0,0.0
armonicos_vl1_armonico_13_vl1,score_zero,3,0.0004201092283993838,0.0011193627990336312,0.0,0.0,0.0,0.0,0.0
armonicos_vl2_armonico_2_vl2,score_zero,3,0.0004201092283993838,2.0992516877917676e-05,0.0,0.0,0.0,0.0,0.0
armonicos_vl2_armonico_3_vl2,score_zero,7,0.0009802548662652289,0.0031802174447709344,0.0,0.0,0.0,0.0,0.0
armonicos_vl2_armonico_9_vl2,score_zero,3,0.0004201092283993838,0.005814605522926159,0.0,0.0,0.0,0.0,0.0
armonicos_vl2_armonico_11_vl2,score_zero,5,0.0007001820473323064,0.005098991620174186,0.0,0.0,0.0,0.0,0.0
armonicos_vl2_armonico_13_vl2,score_zero,3,0.0004201092283993838,0.0019435402224186136,0.0,0.0,0.0,0.0,0.0
armonicos_vl3_armonico_2_vl3,score_zero,3,0.0004201092283993838,2.098467170091675e-05,0.0,0.0,0.0,0.0,0.0
armonicos_vl3_armonico_3_vl3,score_zero,6,0.0008402184567987676,0.012424440942880444,0.0,0.0,0.0,0.0,0.0
armonicos_vl3_armonico_9_vl3,score_zero,2,0.0002800728189329226,2.8003359304791795e-06,0.0,0.0,0.0,0.0,0.0
armonicos_vl3_armonico_11_vl3,score_zero,4,0.0005601456378658452,0.006777915199128245,0.0,0.0,0.0,0.0,0.0
armonicos_vl3_armonico_13_vl3,score_zero,3,0.0004201092283993838,3.9083102783194206e-05,0.0,0.0,0.0,0.0,0.0
